,Title,image,MRP
0,"Kellogg's Muesli with 20% Nuts Delight Pouch, 500 g","['https://m.media-amazon.com/images/I/51TAR9gRbUL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/51TAR9gRbUL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51TAR9gRbUL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51TAR9gRbUL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51TAR9gRbUL._AC_UL960_FMwebp_QL65_.jpg']",315
1,"Kellogg's Muesli with 21% Fruit and Nut Pouch, 240 g","['https://m.media-amazon.com/images/I/71wH--rQjLL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71wH--rQjLL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71wH--rQjLL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71wH--rQjLL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71wH--rQjLL._AC_UL960_FMwebp_QL65_.jpg']",155
2,Kellogg's Crunchy Granola Almonds and Cranberries 460g,"['https://m.media-amazon.com/images/I/61iGpCQrr1L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61iGpCQrr1L._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61iGpCQrr1L._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61iGpCQrr1L._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61iGpCQrr1L._AC_UL960_FMwebp_QL65_.jpg']",285
3,Kellogg's Crunchy Granola Almonds and Cranberries 460g,"['https://m.media-amazon.com/images/I/61iGpCQrr1L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61iGpCQrr1L._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61iGpCQrr1L._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61iGpCQrr1L._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61iGpCQrr1L._AC_UL960_FMwebp_QL65_.jpg']",285
4,"Bagrry's Crunchy Muesli Oat Clusters with Almonds, Raisins & Honey, 1000 GM","['https://m.media-amazon.com/images/I/81NduiykRsL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/81NduiykRsL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81NduiykRsL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81NduiykRsL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81NduiykRsL._AC_UL960_FMwebp_QL65_.jpg']",525
5,"Kellogg's Special K Original, Breakfast Cereals, 900g","['https://m.media-amazon.com/images/I/61fGjeWqNmL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61fGjeWqNmL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61fGjeWqNmL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61fGjeWqNmL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61fGjeWqNmL._AC_UL960_FMwebp_QL65_.jpg']",379
6,"Nestlé NesPlus Breakfast Cereal - Crunchy Flakes with Corn & Oats, 475g Carton","['https://m.media-amazon.com/images/I/81u+siYgGfL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/81u+siYgGfL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81u+siYgGfL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81u+siYgGfL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81u+siYgGfL._AC_UL960_FMwebp_QL65_.jpg']",180
7,"Kellogg's Crunchy Granola Almonds and Cranberries, 460g","['https://m.media-amazon.com/images/I/61iGpCQrr1L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61iGpCQrr1L._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61iGpCQrr1L._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61iGpCQrr1L._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61iGpCQrr1L._AC_UL960_FMwebp_QL65_.jpg']",289
8,"Nestlé NesPlus Breakfast Cereal - Crunchy Granola with Nutty Honey, 475g Pouch","['https://m.media-amazon.com/images/I/814bc9gruHL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/814bc9gruHL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/814bc9gruHL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/814bc9gruHL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/814bc9gruHL._AC_UL960_FMwebp_QL65_.jpg']",284
9,"Nestle Koko Krunch Breakfast Cereal - Strawberry Flavour Burst, 250 g Pouch","['https://m.media-amazon.com/images/I/71ILrqST1OL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71ILrqST1OL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71ILrqST1OL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71ILrqST1OL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71ILrqST1OL._AC_UL960_FMwebp_QL65_.jpg']",190
10,"Kellogg's Muesli with 21% Fruit and Nut Pouch, 500 g","['https://m.media-amazon.com/images/I/71V3r1l4SVL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71V3r1l4SVL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71V3r1l4SVL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71V3r1l4SVL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71V3r1l4SVL._AC_UL960_FMwebp_QL65_.jpg']",315
11,"Nestle Koko Krunch Breakfast Cereal - Chocolate Flavour, 350 g","['https://m.media-amazon.com/images/I/81zeEkJm1AL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/81zeEkJm1AL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81zeEkJm1AL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81zeEkJm1AL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81zeEkJm1AL._AC_UL960_FMwebp_QL65_.jpg']",160
12,"Kellogg's Muesli No Added Sugar, 500g","['https://m.media-amazon.com/images/I/71aAy5soKfL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71aAy5soKfL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71aAy5soKfL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71aAy5soKfL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71aAy5soKfL._AC_UL960_FMwebp_QL65_.jpg']",309
13,"Saffola Masala Oats, Veggie Twist, 1 kg","['https://m.media-amazon.com/images/I/71oQhRjLpJL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71oQhRjLpJL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71oQhRjLpJL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71oQhRjLpJL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71oQhRjLpJL._AC_UL960_FMwebp_QL65_.jpg']",349
14,"Nestle Koko Krunch Breakfast Cereal - Choco Burst, 500 g Box","['https://m.media-amazon.com/images/I/81BeKHAUUXL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/81BeKHAUUXL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81BeKHAUUXL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81BeKHAUUXL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81BeKHAUUXL._AC_UL960_FMwebp_QL65_.jpg']",320
15,"Bagrry's Fruit N Fibre Muesli, Mixed Fruit, 1000g","['https://m.media-amazon.com/images/I/81qRN2v1KHL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/81qRN2v1KHL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81qRN2v1KHL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81qRN2v1KHL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81qRN2v1KHL._AC_UL960_FMwebp_QL65_.jpg']",525
16,"Kellogg's Muesli with 0% Added Sugar, 500g","['https://m.media-amazon.com/images/I/713DOgcUMfL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/713DOgcUMfL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/713DOgcUMfL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/713DOgcUMfL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/713DOgcUMfL._AC_UL960_FMwebp_QL65_.jpg']",315
17,"Saffola Masala Oats, Classic Masala, 500g","['https://m.media-amazon.com/images/I/71bei6HanZL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71bei6HanZL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71bei6HanZL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71bei6HanZL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71bei6HanZL._AC_UL960_FMwebp_QL65_.jpg']",175
18,"Bagrry's Corn Flakes, 800g (with Extra 80g)","['https://m.media-amazon.com/images/I/81mBSoS6ibL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/81mBSoS6ibL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81mBSoS6ibL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81mBSoS6ibL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81mBSoS6ibL._AC_UL960_FMwebp_QL65_.jpg']",280
19,Best seller,"['https://m.media-amazon.com/images/I/71V3r1l4SVL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71V3r1l4SVL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71V3r1l4SVL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71V3r1l4SVL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71V3r1l4SVL._AC_UL960_FMwebp_QL65_.jpg']",1
20,"Kellogg's Muesli with 20% Nuts Delight, 500g","['https://m.media-amazon.com/images/I/51sB91xoUCL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/51sB91xoUCL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51sB91xoUCL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51sB91xoUCL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51sB91xoUCL._AC_UL960_FMwebp_QL65_.jpg']",284
21,"Kellogg's Special K Original Breakfast Cereal, 900gms Pack","['https://m.media-amazon.com/images/I/61fGjeWqNmL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61fGjeWqNmL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61fGjeWqNmL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61fGjeWqNmL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61fGjeWqNmL._AC_UL960_FMwebp_QL65_.jpg']",379
22,"Kellogg's Corn Flakes Real Almond and Honey, 650g","['https://m.media-amazon.com/images/I/71a3d4P9mwL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71a3d4P9mwL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71a3d4P9mwL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71a3d4P9mwL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71a3d4P9mwL._AC_UL960_FMwebp_QL65_.jpg']",350
23,Best seller,"['https://m.media-amazon.com/images/I/71HsQr-pYjL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71HsQr-pYjL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71HsQr-pYjL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71HsQr-pYjL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71HsQr-pYjL._AC_UL960_FMwebp_QL65_.jpg']",7
24,"Kellogg's Corn Flakes, 475g","['https://m.media-amazon.com/images/I/71aqWXMuj-L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71aqWXMuj-L._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71aqWXMuj-L._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71aqWXMuj-L._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71aqWXMuj-L._AC_UL960_FMwebp_QL65_.jpg']",169
25,"Kellogg's Chocos, High in Protein, B Vitamins, Calcium and Iron, 700g","['https://m.media-amazon.com/images/I/611VoAjTDjL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/611VoAjTDjL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/611VoAjTDjL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/611VoAjTDjL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/611VoAjTDjL._AC_UL960_FMwebp_QL65_.jpg']",299
26,"Kellogg's Chocos, 700g","['https://m.media-amazon.com/images/I/611VoAjTDjL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/611VoAjTDjL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/611VoAjTDjL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/611VoAjTDjL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/611VoAjTDjL._AC_UL960_FMwebp_QL65_.jpg']",299
27,"Kellogg's Combo, Kellogg's All Bran Wheat Flakes, 425g and Kellogg's Special K Original, Breakfast Cereals, 900g","['https://m.media-amazon.com/images/I/71jpZIuUIdL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71jpZIuUIdL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71jpZIuUIdL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71jpZIuUIdL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71jpZIuUIdL._AC_UL960_FMwebp_QL65_.jpg']",569
