,Title,image,MRP
0,"Gillette Classic Regular Pre Shave Foam, 418g with 33% Extra Free","['https://m.media-amazon.com/images/I/71LTuQrisdL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71LTuQrisdL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71LTuQrisdL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71LTuQrisdL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71LTuQrisdL._AC_UL960_FMwebp_QL65_.jpg']",180
1,Gillette Classic Sensitive Skin Pre Shave Foam - 418 g (33% extra),"['https://m.media-amazon.com/images/I/71QoXnJ21jL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71QoXnJ21jL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71QoXnJ21jL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71QoXnJ21jL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71QoXnJ21jL._AC_UL960_FMwebp_QL65_.jpg']",180
2,Gillette Mach 3 Manual Shaving Razor Blades - 2s Pack (Cartridge),"['https://m.media-amazon.com/images/I/81FrnbcvQ-L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/81FrnbcvQ-L._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81FrnbcvQ-L._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81FrnbcvQ-L._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81FrnbcvQ-L._AC_UL960_FMwebp_QL65_.jpg']",260
3,Gillette Vector Plus Manual Shaving Razor,"['https://m.media-amazon.com/images/I/51sWA5xbZHL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/51sWA5xbZHL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51sWA5xbZHL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51sWA5xbZHL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51sWA5xbZHL._AC_UL960_FMwebp_QL65_.jpg']",65
4,Gillette Fusion Manual Razor,"['https://m.media-amazon.com/images/I/61GPjR9ozfL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61GPjR9ozfL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61GPjR9ozfL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61GPjR9ozfL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61GPjR9ozfL._AC_UL960_FMwebp_QL65_.jpg']",297
5,Gillette Fusion Proglide Flex Ball Manual Shaving Razor Blades - 2 Cartridges,"['https://m.media-amazon.com/images/I/81ljZ1Q+P5L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/81ljZ1Q+P5L._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81ljZ1Q+P5L._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81ljZ1Q+P5L._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81ljZ1Q+P5L._AC_UL960_FMwebp_QL65_.jpg']",524
6,Gillette Mach 3 Shaving Blades- Pack of 6 (Cartridges),"['https://m.media-amazon.com/images/I/71xuK-qZ1sL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71xuK-qZ1sL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71xuK-qZ1sL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71xuK-qZ1sL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71xuK-qZ1sL._AC_UL960_FMwebp_QL65_.jpg']",686
7,Gillette Mach 3 Shaving Blades - Pack of 6 (Cartridges),"['https://m.media-amazon.com/images/I/71Y-8UTag+L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71Y-8UTag+L._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71Y-8UTag+L._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71Y-8UTag+L._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71Y-8UTag+L._AC_UL960_FMwebp_QL65_.jpg']",725
8,Best seller,"['https://m.media-amazon.com/images/I/71RRx0llxpL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71RRx0llxpL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71RRx0llxpL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71RRx0llxpL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71RRx0llxpL._AC_UL960_FMwebp_QL65_.jpg']",9
9,Gillette Flexball Fusion Pro Glide Razor,"['https://m.media-amazon.com/images/I/71nY-XD8w8L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71nY-XD8w8L._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71nY-XD8w8L._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71nY-XD8w8L._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71nY-XD8w8L._AC_UL960_FMwebp_QL65_.jpg']",424
