,Title,image,MRP
0,Surf Excel Matic Top Load Liquid Detergent - 1.02L,"['https://m.media-amazon.com/images/I/61bmtEaKZzL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61bmtEaKZzL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61bmtEaKZzL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61bmtEaKZzL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61bmtEaKZzL._AC_UL960_FMwebp_QL65_.jpg']",189
1,"Ariel Matic Liquid Detergent, Top Load, 2 Litre","['https://m.media-amazon.com/images/I/71gSA5hUKrL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71gSA5hUKrL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71gSA5hUKrL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71gSA5hUKrL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71gSA5hUKrL._AC_UL960_FMwebp_QL65_.jpg']",359
2,Comfort After Wash Lily Fresh Fabric Conditioner - 1.6 l,"['https://m.media-amazon.com/images/I/61ih8fF+LBL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61ih8fF+LBL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61ih8fF+LBL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61ih8fF+LBL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61ih8fF+LBL._AC_UL960_FMwebp_QL65_.jpg']",360
3,Tide Plus Extra Power Detergent Washing Powder - 7 kg (Jasmine and Rose) with Free Detergent Powder - 3 kg,"['https://m.media-amazon.com/images/I/71FBLCudJsL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71FBLCudJsL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71FBLCudJsL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71FBLCudJsL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71FBLCudJsL._AC_UL960_FMwebp_QL65_.jpg']",724
4,Ariel Matic Front Load Detergent Washing Powder - 4 kg with Free Detergent Powder - 2 kg,"['https://m.media-amazon.com/images/I/81yfl5NkFbL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/81yfl5NkFbL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81yfl5NkFbL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81yfl5NkFbL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81yfl5NkFbL._AC_UL960_FMwebp_QL65_.jpg']",999
5,"Dettol After Detergent Wash Liquid Laundry Sanitizer, Fresh Linen - 960ml","['https://m.media-amazon.com/images/I/51vujxUmlBL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/51vujxUmlBL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51vujxUmlBL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51vujxUmlBL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51vujxUmlBL._AC_UL960_FMwebp_QL65_.jpg']",290
6,"Ariel Matic Liquid Detergent, Top Load, 2 Litre","['https://m.media-amazon.com/images/I/71gSA5hUKrL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71gSA5hUKrL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71gSA5hUKrL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71gSA5hUKrL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71gSA5hUKrL._AC_UL960_FMwebp_QL65_.jpg']",369
7,Ariel Matic Liquid Detergent 1 Litre,"['https://m.media-amazon.com/images/I/61HKOG2wECL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61HKOG2wECL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61HKOG2wECL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61HKOG2wECL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61HKOG2wECL._AC_UL960_FMwebp_QL65_.jpg']",225
8,"Dettol After Detergent Wash Liquid Laundry Sanitizer, Fresh Linen - 960ml","['https://m.media-amazon.com/images/I/51vujxUmlBL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/51vujxUmlBL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51vujxUmlBL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51vujxUmlBL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51vujxUmlBL._AC_UL960_FMwebp_QL65_.jpg']",290
9,Comfort After Wash Fabric Conditioner Pouch - 2 l,"['https://m.media-amazon.com/images/I/61HtKeR+I4L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61HtKeR+I4L._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61HtKeR+I4L._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61HtKeR+I4L._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61HtKeR+I4L._AC_UL960_FMwebp_QL65_.jpg']",395
