,Title,image,MRP
0,Oral-B Ultra Thin Sensitive Green Toothbrush,"['https://m.media-amazon.com/images/I/71mgVCS9jCL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71mgVCS9jCL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71mgVCS9jCL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71mgVCS9jCL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71mgVCS9jCL._AC_UL960_FMwebp_QL65_.jpg']",70
1,Dabur Red Paste 500g(200g+200g+100g),"['https://m.media-amazon.com/images/I/61cWdpdgARL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61cWdpdgARL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61cWdpdgARL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61cWdpdgARL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61cWdpdgARL._AC_UL960_FMwebp_QL65_.jpg']",171
2,"Colgate Toothpaste for Kids (6-9 years), Natural Strawberry Mint Flavour, 0% Artificial- 80g with Colgate Barbie Extra Soft Toothbrush (5+ yrs) - 1 Pc","['https://m.media-amazon.com/images/I/61uN+wERq5L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61uN+wERq5L._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61uN+wERq5L._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61uN+wERq5L._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61uN+wERq5L._AC_UL960_FMwebp_QL65_.jpg']",195
3,"Oral-B Ultrathin Sensitive Toothbrush - 1 Piece (Green, Buy 2 Get 1 Free)","['https://m.media-amazon.com/images/I/71DPWBsbRwL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71DPWBsbRwL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71DPWBsbRwL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71DPWBsbRwL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71DPWBsbRwL._AC_UL960_FMwebp_QL65_.jpg']",140
4,Himalaya Menosan Tablets 2 x 30's,"['https://m.media-amazon.com/images/I/41ztl1XMP1L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/41ztl1XMP1L._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/41ztl1XMP1L._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/41ztl1XMP1L._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/41ztl1XMP1L._AC_UL960_FMwebp_QL65_.jpg']",280
5,Colgate Herbal Toothpaste - 200 g with Swarna Vedshakti Toothpaste - 200 g and Slim Soft Charcoal Toothbrush,"['https://m.media-amazon.com/images/I/61jQacK0WJL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61jQacK0WJL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61jQacK0WJL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61jQacK0WJL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61jQacK0WJL._AC_UL960_FMwebp_QL65_.jpg']",270
6,Colgate 360 Visible White Toothbrush - 4 Pcs (Buy 2 Get 2 Free),"['https://m.media-amazon.com/images/I/819h0U7UCoL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/819h0U7UCoL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/819h0U7UCoL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/819h0U7UCoL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/819h0U7UCoL._AC_UL960_FMwebp_QL65_.jpg']",170
7,"Colgate Anticavity Kids Barbie Toothpaste (6+ years), Strawberry flavour – 80g (Pack of 2) with Colgate Barbie Toothbrush - 1 Pc","['https://m.media-amazon.com/images/I/71ZlKc1X3eL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71ZlKc1X3eL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71ZlKc1X3eL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71ZlKc1X3eL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71ZlKc1X3eL._AC_UL960_FMwebp_QL65_.jpg']",259
8,Colgate 360 Charcoal Battery Toothbrush Refill (Multicolor),"['https://m.media-amazon.com/images/I/613U4VGTocL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/613U4VGTocL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/613U4VGTocL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/613U4VGTocL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/613U4VGTocL._AC_UL960_FMwebp_QL65_.jpg']",275
9,"Colgate Total Advanced Health Anticavity Toothpaste - 185g, Colgate Swarna Vedshakti Toothpaste - 200g, Colgate Plax Freshmint Splash Mouthwash- 250ml and Slim Soft Charcoal Toothbrush (Buy 2 Get 1)","['https://m.media-amazon.com/images/I/71pa5iUpnNL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71pa5iUpnNL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71pa5iUpnNL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71pa5iUpnNL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71pa5iUpnNL._AC_UL960_FMwebp_QL65_.jpg']",500
10,Colgate Herbal Toothpaste - 200 g with Swarna Vedshakti Toothpaste - 200 g and Plax Peppermint Mouthwash - 250ml with Free Slim Soft Toothbrush,"['https://m.media-amazon.com/images/I/61S1a3qq7DL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61S1a3qq7DL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61S1a3qq7DL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61S1a3qq7DL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61S1a3qq7DL._AC_UL960_FMwebp_QL65_.jpg']",430
11,"Himalaya Gentle Daily Care Protein Shampoo, 700ml And Himalaya Damage Repair Protein Shampoo, 700ml","['https://m.media-amazon.com/images/I/81T7QZwvYdL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/81T7QZwvYdL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81T7QZwvYdL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81T7QZwvYdL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81T7QZwvYdL._AC_UL960_FMwebp_QL65_.jpg']",584
12,Colgate 360° Charcoal Battery Powered Toothbrush - 1 Pc,"['https://m.media-amazon.com/images/I/61SlAA4J7BL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61SlAA4J7BL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61SlAA4J7BL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61SlAA4J7BL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61SlAA4J7BL._AC_UL960_FMwebp_QL65_.jpg']",599
13,Colgate Total Advanced Health Anticavity Toothpaste - 185 g (Pack of 2) & Colgate Slim Soft Charcoal Toothbrush (Buy 2 Get 1) (Pack Of 2),"['https://m.media-amazon.com/images/I/61FE8vP+GgL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61FE8vP+GgL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61FE8vP+GgL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61FE8vP+GgL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61FE8vP+GgL._AC_UL960_FMwebp_QL65_.jpg']",545
14,"Colgate Plax Pepper Mint Mouthwash, 250ml (Pack of 3) & Mint Mouthwash, 250ml (Pack of 3)","['https://m.media-amazon.com/images/I/81xP3w9KZUL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/81xP3w9KZUL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81xP3w9KZUL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81xP3w9KZUL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81xP3w9KZUL._AC_UL960_FMwebp_QL65_.jpg']",660
