,Title,image,MRP
0,"MDH Kitchen King Mixed Spices Powder, 100g","['https://m.media-amazon.com/images/I/81mzyXW-PPL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/81mzyXW-PPL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81mzyXW-PPL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81mzyXW-PPL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81mzyXW-PPL._AC_UL960_FMwebp_QL65_.jpg']",68
1,"MDH Dhania, 500g","['https://m.media-amazon.com/images/I/91l5hGrWzEL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/91l5hGrWzEL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/91l5hGrWzEL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/91l5hGrWzEL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/91l5hGrWzEL._AC_UL960_FMwebp_QL65_.jpg']",145
2,"MDH Turmeric, 500g","['https://m.media-amazon.com/images/I/91OVDR064rL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/91OVDR064rL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/91OVDR064rL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/91OVDR064rL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/91OVDR064rL._AC_UL960_FMwebp_QL65_.jpg']",135
3,"Everest Dry Mango Powder, 100g Carton","['https://m.media-amazon.com/images/I/71C+2Ft07eL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71C+2Ft07eL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71C+2Ft07eL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71C+2Ft07eL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71C+2Ft07eL._AC_UL960_FMwebp_QL65_.jpg']",70
4,"Catch Chicken Masala, 100g","['https://m.media-amazon.com/images/I/81ovsN-+3GL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/81ovsN-+3GL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81ovsN-+3GL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81ovsN-+3GL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81ovsN-+3GL._AC_UL960_FMwebp_QL65_.jpg']",58
5,"MDH Jal Jeera, 100g","['https://m.media-amazon.com/images/I/A1x8RwQaGyL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/A1x8RwQaGyL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/A1x8RwQaGyL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/A1x8RwQaGyL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/A1x8RwQaGyL._AC_UL960_FMwebp_QL65_.jpg']",50
6,"MDH Chana Masala, 100g","['https://m.media-amazon.com/images/I/91HDGtxFedL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/91HDGtxFedL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/91HDGtxFedL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/91HDGtxFedL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/91HDGtxFedL._AC_UL960_FMwebp_QL65_.jpg']",63
7,"MDH Masala - Dal Makhni, 100g Carton","['https://m.media-amazon.com/images/I/51j6+pmqGfL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/51j6+pmqGfL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51j6+pmqGfL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51j6+pmqGfL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51j6+pmqGfL._AC_UL960_FMwebp_QL65_.jpg']",61
8,"MDH Meat Masala, 500g","['https://m.media-amazon.com/images/I/91MUBUdtgcL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/91MUBUdtgcL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/91MUBUdtgcL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/91MUBUdtgcL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/91MUBUdtgcL._AC_UL960_FMwebp_QL65_.jpg']",346
9,"MDH Masala - Biryani, 50g Pouch","['https://m.media-amazon.com/images/I/81YUhQDxQML._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/81YUhQDxQML._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81YUhQDxQML._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81YUhQDxQML._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81YUhQDxQML._AC_UL960_FMwebp_QL65_.jpg']",78
