,Title,image,MRP
0,Dabur Meswak Toothpaste - 200g (Pack of 2),"['https://m.media-amazon.com/images/I/71769i3kKqL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71769i3kKqL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71769i3kKqL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71769i3kKqL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71769i3kKqL._AC_UL960_FMwebp_QL65_.jpg']",142
1,Pepsodent Gum Care - 140 g (Pack of 3),"['https://m.media-amazon.com/images/I/61a-JBbp4yL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61a-JBbp4yL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61a-JBbp4yL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61a-JBbp4yL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61a-JBbp4yL._AC_UL960_FMwebp_QL65_.jpg']",236
2,Colgate Total Advanced Health Anticavity Toothpaste - 185g (Pack of 2),"['https://m.media-amazon.com/images/I/71L6S++9x7L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71L6S++9x7L._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71L6S++9x7L._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71L6S++9x7L._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71L6S++9x7L._AC_UL960_FMwebp_QL65_.jpg']",250
3,Himalaya Herbals Sparkling White Toothpaste 150g,"['https://m.media-amazon.com/images/I/71G1PiZVorL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71G1PiZVorL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71G1PiZVorL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71G1PiZVorL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71G1PiZVorL._AC_UL960_FMwebp_QL65_.jpg']",90
4,Sensodyne Sensitive Toothpaste Repair & Protect - 100 g,"['https://m.media-amazon.com/images/I/71EfC+H0VfL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71EfC+H0VfL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71EfC+H0VfL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71EfC+H0VfL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71EfC+H0VfL._AC_UL960_FMwebp_QL65_.jpg']",210
5,"Mamaearth Natural Toothpaste, Orange Flavour, SLS Free, with 750 PPM Fluoride, 4+ Years, Plant Based, 50gm","['https://m.media-amazon.com/images/I/61RZpdIJjxL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61RZpdIJjxL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61RZpdIJjxL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61RZpdIJjxL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61RZpdIJjxL._AC_UL960_FMwebp_QL65_.jpg']",140
6,"Dabur Red Paste, 800g (Buy 3 Get 1 Free)","['https://m.media-amazon.com/images/I/81LlzrC2HDL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/81LlzrC2HDL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81LlzrC2HDL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81LlzrC2HDL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81LlzrC2HDL._AC_UL960_FMwebp_QL65_.jpg']",242
7,"Closeup Everfresh+ Anti-Germ Gel Toothpaste Red Hot, 150 g (Pack of 4)","['https://m.media-amazon.com/images/I/61ZXVswjmJL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61ZXVswjmJL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61ZXVswjmJL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61ZXVswjmJL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61ZXVswjmJL._AC_UL960_FMwebp_QL65_.jpg']",272
8,"Healthvit Activated Charcoal Toothpaste For Teeth Whitening, Best Natural Whitener, Fluoride Free, Sulfate Free Mint Flavour (100g) - Pack of 2 (Pack of 1)","['https://m.media-amazon.com/images/I/71dLnGFinTL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71dLnGFinTL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71dLnGFinTL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71dLnGFinTL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71dLnGFinTL._AC_UL960_FMwebp_QL65_.jpg']",189
9,"Chicco Toothpaste, Strawberry Flavour for 12m+ Baby, Fluoride-free, Preservative-free (50 ml)","['https://m.media-amazon.com/images/I/61qdt7kormL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61qdt7kormL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61qdt7kormL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61qdt7kormL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61qdt7kormL._AC_UL960_FMwebp_QL65_.jpg']",279
10,"Colgate Visible White, Teeth Whitening Toothpaste, 400g, 200gm x 2 (Sparkling Mint, Saver Pack)","['https://m.media-amazon.com/images/I/613aSXIBd9L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/613aSXIBd9L._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/613aSXIBd9L._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/613aSXIBd9L._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/613aSXIBd9L._AC_UL960_FMwebp_QL65_.jpg']",335
